,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
2324,Samuel Amo-Ameyaw,MID,Southampton,-0.3,0,0,0,0,0.0,451,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2024-09-14T11:30:00Z,0,14,0,0,0,0,4,0,14189,0,3,0,0.0,0,569,2864,2295,45,True,0,4
2325,Joe Gauci,GK,Aston Villa,0.0,0,0,0,0,0.0,39,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2024-09-14T16:30:00Z,0,8,0,0,0,0,4,0,88084,0,2,3,0.0,0,1658,8280,6622,40,True,0,4
2326,João Pedro Junqueira de Jesus,FWD,Brighton,5.0,0,0,0,0,0.0,129,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,10,0,0,0,0,4,0,3431592,0,0,0,0.0,0,1191366,1305135,113769,57,True,0,4
2327,Justin Kluivert,MID,Bournemouth,2.5,0,0,7,1,11.3,71,0.02,0.31,0.29,0.47,32,0,0,6.3,9.8,2024-09-14T19:00:00Z,74,6,0,0,0,0,4,0,33155,1,1,0,42.0,2,-239,5126,5365,54,True,1,4
2328,Martin Dúbravka,GK,Newcastle,0.5,0,0,0,0,0.0,396,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,20,0,0,0,0,4,0,79378,0,2,1,0.0,0,-11461,1522,12983,43,False,0,4
2329,Flynn Downes,MID,Southampton,1.3,0,0,8,0,8.5,518,0.02,0.02,0.0,2.67,38,3,0,2.3,8.8,2024-09-14T11:30:00Z,90,14,0,0,0,0,4,0,5719,1,3,0,6.0,2,-412,469,881,49,True,0,4
2330,Alejandro Garnacho,MID,Man Utd,3.5,0,0,22,0,11.1,372,0.04,0.35,0.31,0.0,38,0,1,6.9,34.0,2024-09-14T11:30:00Z,17,17,0,0,0,0,4,0,1093417,0,3,0,24.0,6,-196534,58722,255256,64,False,0,4
2331,Ronnie Edwards,DEF,Southampton,-0.5,0,0,0,0,0.0,460,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2024-09-14T11:30:00Z,0,14,0,0,0,0,4,0,18039,0,3,0,0.0,0,-712,1008,1720,40,True,0,4
2332,Edson Álvarez Velázquez,MID,West Ham,1.0,0,0,9,0,12.8,511,0.01,0.01,0.0,1.38,35,1,0,2.7,13.8,2024-09-14T14:00:00Z,81,9,0,0,0,0,4,0,12384,1,1,1,0.0,1,1258,2453,1195,50,False,1,4
2333,Jack Grealish,MID,Man City,2.0,0,0,14,0,18.4,349,0.15,0.3,0.15,0.92,37,1,0,6.2,9.8,2024-09-14T14:00:00Z,83,4,0,0,0,0,4,0,22113,1,1,2,34.0,2,2947,5746,2799,64,True,0,4
