column_name,percentage,interpolated_value_above,interpolated_value_below
yellow_cards,25,0.0,0.0
yellow_cards,20,0.0,0.0
yellow_cards,15,0.0,0.0
yellow_cards,10,0.0,0.0
yellow_cards,5,0.0,0.0
saves,100,0.0,0.0
saves,95,0.0,0.0
saves,90,0.0,0.0
saves,85,0.0,0.0
saves,80,0.0,0.0
saves,75,0.0,0.0
saves,70,0.0,0.0
saves,65,0.0,0.0
saves,60,0.0,0.0
saves,55,0.0,0.0
saves,50,0.0,0.0
saves,45,0.0,0.0
saves,40,0.0,0.0
saves,35,0.0,0.0
saves,30,0.0,0.0
saves,25,0.0,0.0
saves,20,0.0,0.0
saves,15,0.0,0.0
saves,10,0.0,0.0
saves,5,0.0,0.0
rival_team_player_Ipswich,100,0.0,0.0
rival_team_player_Ipswich,95,0.0,0.0
rival_team_player_Ipswich,90,0.0,0.0
rival_team_player_Ipswich,85,0.0,0.0
rival_team_player_Ipswich,80,0.0,0.0
rival_team_player_Ipswich,75,0.0,0.0
rival_team_player_Ipswich,70,0.0,0.0
rival_team_player_Ipswich,65,0.0,0.0
rival_team_player_Ipswich,60,0.0,0.0
rival_team_player_Ipswich,55,0.0,0.0
rival_team_player_Ipswich,50,0.0,0.0
rival_team_player_Ipswich,45,0.0,0.0
rival_team_player_Ipswich,40,0.0,0.0
rival_team_player_Ipswich,35,0.0,0.0
rival_team_player_Ipswich,30,0.0,0.0
rival_team_player_Ipswich,25,0.0,0.0
rival_team_player_Ipswich,20,0.0,0.0
rival_team_player_Ipswich,15,0.0,0.0
rival_team_player_Ipswich,10,0.0,0.0
rival_team_player_Ipswich,5,0.0,0.0
rival_team_player_Man Utd,100,0.0,0.0
rival_team_player_Man Utd,95,0.0,0.0
rival_team_player_Man Utd,90,0.0,0.0
rival_team_player_Man Utd,85,0.0,0.0
rival_team_player_Man Utd,80,0.0,0.0
rival_team_player_Man Utd,75,0.0,0.0
rival_team_player_Man Utd,70,0.0,0.0
rival_team_player_Man Utd,65,0.0,0.0
rival_team_player_Man Utd,60,0.0,0.0
rival_team_player_Man Utd,55,0.0,0.0
rival_team_player_Man Utd,50,0.0,0.0
rival_team_player_Man Utd,45,0.0,0.0
rival_team_player_Man Utd,40,0.0,0.0
rival_team_player_Man Utd,35,0.0,0.0
rival_team_player_Man Utd,30,0.0,0.0
rival_team_player_Man Utd,25,0.0,0.0
rival_team_player_Man Utd,20,0.0,0.0
rival_team_player_Man Utd,15,0.0,0.0
rival_team_player_Man Utd,10,0.0,0.0
rival_team_player_Man Utd,5,0.0,0.0
rival_team_player_Not Specified,100,0.0,0.0
rival_team_player_Not Specified,95,0.0,0.0
rival_team_player_Not Specified,90,0.0,0.0
rival_team_player_Not Specified,85,0.0,0.0
rival_team_player_Not Specified,80,0.0,0.0
rival_team_player_Not Specified,75,0.0,0.0
rival_team_player_Not Specified,70,0.0,0.0
rival_team_player_Not Specified,65,0.0,0.0
rival_team_player_Not Specified,60,0.0,0.0
rival_team_player_Not Specified,55,0.0,0.0
rival_team_player_Not Specified,50,0.0,0.0
rival_team_player_Not Specified,45,0.0,0.0
rival_team_player_Not Specified,40,0.0,0.0
rival_team_player_Not Specified,35,0.0,0.0
rival_team_player_Not Specified,30,0.0,0.0
rival_team_player_Not Specified,25,0.0,0.0
rival_team_player_Not Specified,20,0.0,0.0
rival_team_player_Not Specified,15,0.0,0.0
rival_team_player_Not Specified,10,0.0,0.0
rival_team_player_Not Specified,5,0.0,0.0
rival_team_player_Liverpool,100,0.0,0.0
rival_team_player_Liverpool,95,0.0,0.0
rival_team_player_Liverpool,90,0.0,0.0
rival_team_player_Liverpool,85,0.0,0.0
rival_team_player_Liverpool,80,0.0,0.0
rival_team_player_Liverpool,75,0.0,0.0
rival_team_player_Liverpool,70,0.0,0.0
rival_team_player_Liverpool,65,0.0,0.0
rival_team_player_Liverpool,60,0.0,0.0
rival_team_player_Liverpool,55,0.0,0.0
rival_team_player_Liverpool,50,0.0,0.0
rival_team_player_Liverpool,45,0.0,0.0
rival_team_player_Liverpool,40,0.0,0.0
rival_team_player_Liverpool,35,0.0,0.0
rival_team_player_Liverpool,30,0.0,0.0
rival_team_player_Liverpool,25,0.0,0.0
rival_team_player_Liverpool,20,0.0,0.0
rival_team_player_Liverpool,15,0.0,0.0
rival_team_player_Liverpool,10,0.0,0.0
rival_team_player_Liverpool,5,0.0,0.0
rival_team_player_West Ham,100,0.0,0.0
rival_team_player_West Ham,95,0.0,0.0
rival_team_player_West Ham,90,0.0,0.0
rival_team_player_West Ham,85,0.0,0.0
rival_team_player_West Ham,80,0.0,0.0
rival_team_player_West Ham,75,0.0,0.0
rival_team_player_West Ham,70,0.0,0.0
rival_team_player_West Ham,65,0.0,0.0
rival_team_player_West Ham,60,0.0,0.0
rival_team_player_West Ham,55,0.0,0.0
rival_team_player_West Ham,50,0.0,0.0
rival_team_player_West Ham,45,0.0,0.0
rival_team_player_West Ham,40,0.0,0.0
rival_team_player_West Ham,35,0.0,0.0
rival_team_player_West Ham,30,0.0,0.0
rival_team_player_West Ham,25,0.0,0.0
rival_team_player_West Ham,20,0.0,0.0
rival_team_player_West Ham,15,0.0,0.0
rival_team_player_West Ham,10,0.0,0.0
rival_team_player_West Ham,5,0.0,0.0
rival_team_player_Chelsea,100,0.0,0.0
rival_team_player_Chelsea,95,0.0,0.0
rival_team_player_Chelsea,90,0.0,0.0
rival_team_player_Chelsea,85,0.0,0.0
rival_team_player_Chelsea,80,0.0,0.0
rival_team_player_Chelsea,75,0.0,0.0
rival_team_player_Chelsea,70,0.0,0.0
rival_team_player_Chelsea,65,0.0,0.0
rival_team_player_Chelsea,60,0.0,0.0
